"gene_symbol","P1_deduped.bam","P2_deduped.bam","P3_deduped.bam","P4_deduped.bam","P5_deduped.bam","P6_deduped.bam","P7_deduped.bam","P8_deduped.bam","P9_deduped.bam","P10_deduped.bam","P11_deduped.bam","P12_deduped.bam","P13_deduped.bam","P14_deduped.bam","P15_deduped.bam","P16_deduped.bam","P17_deduped.bam","P19_deduped.bam","P20_deduped.bam","P21_deduped.bam","P22_deduped.bam","P23_deduped.bam","P24_deduped.bam","P25_deduped.bam","P26_deduped.bam","P27_deduped.bam","P28_deduped.bam","P29_deduped.bam","P30_deduped.bam","P31_deduped.bam","P32_deduped.bam","P33_deduped.bam"
"GPR62",1,23,5,2,7,7,3,2,2,1,3,0,15,0,11,7,6,1,1,2,3,0,0,0,0,0,3,1,3,0,1,0
"GPR63",1,13,5,1,3,11,2,2,0,0,0,1,10,0,3,8,0,3,1,8,2,0,0,0,0,1,0,0,1,0,1,7
"GPR68",0,6,5,6,3,4,1,1,0,0,0,2,3,0,25,0,2,4,6,28,7,0,0,0,0,0,0,0,1,0,0,1
"GPR82",0,19,11,6,2,19,0,0,2,1,0,0,0,1,5,0,6,4,0,2,578,0,0,1,0,0,0,0,2,2,0,451
"GPR84",2,0,8,5,2,2,0,1,0,0,0,0,0,0,12,3,0,0,1,17,1,0,0,0,0,0,0,0,0,0,0,24
"GPR87",0,0,0,0,0,0,0,0,0,2,4,0,0,3,0,0,0,11,0,16,0,0,0,0,0,0,1,0,1,0,0,0
"GPR88",0,2,1,2,1,1,0,2,19,2,5,1,4,0,0,2,5,0,85,19,2,0,0,0,1,0,2,0,1,3,7,2
"GPRASP1",1,16,18,7,19,12,2,7,0,0,0,3,11,0,4,10,0,7,21,20,10,0,0,0,0,5,0,0,6,0,12,2
"GPRASP2",1,36,28,3,30,22,4,21,0,0,0,1,37,0,13,20,0,23,41,49,7,0,0,0,0,2,0,1,18,0,23,1
"GPRC5A",1,70,2,152,3,259,3,0,0,0,0,0,23,0,538,0,0,0,20,64,3,0,0,0,0,2,0,0,5,0,6,4
"GPRC5B",13,192,61,41,161,49,85,74,0,0,0,16,203,0,83,335,1,25,260,264,21,0,0,0,0,57,0,58,52,0,229,11
"GPRC5C",31,2,2,8,87,21,41,6,2,0,0,50,3,0,20,110,1,4,324,102,3,0,0,1,0,33,4,27,1,0,113,1
"GPRIN2",0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,3,0,13,1,23,2,0,0,0,0,0,0,0,3,0,1,0
"GPRIN3",19,128,95,26,22,316,27,13,0,0,0,53,94,0,44,51,0,6,113,102,446,0,0,0,0,2,0,1,14,0,11,396
"GPS1",15,194,83,57,132,315,77,108,7,5,10,34,238,3,159,216,17,87,208,238,91,0,4,5,3,69,5,44,89,2,96,49
"GPS2",4,78,36,26,47,44,69,39,3,2,4,7,113,1,63,101,6,26,55,102,39,2,1,2,0,19,3,44,18,1,30,19
"GPSM1",4,67,30,9,24,63,14,20,2,0,0,8,83,0,26,47,1,33,61,101,27,0,0,0,0,7,0,3,37,0,21,22
"GPSM2",0,100,6,14,1,11,1,11,6,2,7,0,55,1,49,2,13,24,1,7,3,1,2,6,3,1,5,0,6,4,2,4
"GPSM3",2,12,61,13,4,24,6,2,0,1,1,2,25,0,18,5,1,2,3,14,49,0,0,0,1,1,1,1,0,1,2,30
"GPT",26,44,6,80,285,19,68,54,6,13,11,10,51,11,213,404,13,17,23,92,3,0,0,16,17,98,5,45,34,4,16,0
"GPT2",147,5,7,22,24,1,3,3,2,0,0,169,1,0,55,11,0,81,3187,936,3,0,0,0,0,0,0,0,28,0,768,0
"GPX1",150,828,113,131,99,229,56,112,0,0,0,254,640,0,193,169,0,70,255,793,397,0,0,0,0,22,0,10,92,0,29,344
"GPX2",0,0,4,436,2,11,1,2,1,1,0,0,0,0,1334,0,1,1,1,31,0,0,1,1,0,0,0,0,1,1,0,0
"GPX3",274,1326,41,77,663,349,233,357,2,2,4,352,1376,3,448,1285,17,116,13881,5585,70,0,1,5,0,186,2,80,338,0,3303,19
"GPX4",31,261,56,61,204,42,76,115,8,5,15,38,226,2,97,335,15,27,186,268,58,2,4,8,2,72,2,24,94,4,118,53
"GPX7",2,38,8,7,19,4,10,15,0,0,0,0,38,0,7,29,1,12,6,21,2,0,0,0,0,2,1,1,5,0,7,3
"GPX8",0,23,1,2,19,0,5,4,0,0,0,0,10,0,4,20,4,4,1,10,4,0,0,0,0,3,0,3,1,0,1,0
"GRAMD1A",10,115,122,49,56,92,63,46,0,0,0,8,170,0,77,109,0,35,65,109,109,0,0,0,0,34,0,24,40,0,47,73
"GRAMD1B",2,2,44,58,106,29,19,3,3,0,1,1,6,2,157,166,8,4,1699,506,47,0,2,1,0,35,2,6,11,0,444,17
"GRAMD1C",1,1,5,21,47,10,0,2,0,0,0,1,4,0,73,52,0,12,9,22,2,0,0,0,0,17,0,0,2,0,7,1
"GRAMD2A",0,32,2,1,3,120,6,5,2,3,5,1,19,2,1,1,10,1,0,5,1,0,1,1,0,1,1,11,4,0,3,0
"GRAMD2B",128,36,73,172,509,73,12,7,2,1,0,187,37,0,457,656,2,37,74,74,19,0,0,0,0,133,0,0,10,0,51,13
"GRAMD4",15,95,23,55,121,50,22,32,1,1,10,24,106,1,147,260,7,41,66,128,19,0,1,5,2,51,4,9,29,0,63,9
"GRAP",4,54,282,49,20,33,3,11,5,1,2,8,63,0,84,30,0,9,14,15,101,0,1,0,0,15,0,3,21,1,6,49
"GRAP2",0,2,24,16,7,11,0,1,44,1,0,1,4,7,34,3,1,2,1,11,30,0,0,2,2,0,0,0,1,12,5,21
"GRASP",6,79,16,6,30,30,9,16,2,1,0,7,58,0,19,65,1,5,22,62,35,0,1,2,0,5,1,5,12,0,23,11
"GRB10",12,463,27,48,199,129,444,208,0,0,0,32,501,0,137,397,0,74,97,276,64,0,0,0,1,103,0,223,160,0,41,38
"GRB14",20,3,12,6,115,2,3,1,3,0,0,25,6,0,5,193,0,0,66,23,7,0,0,0,0,52,0,2,1,0,38,2
